Player,Team,Min,G,MPG,OPM,DPM
Lance Thomas,nyk,1080,72,15,-2.3394234,-1.3876078
Frank Ntilikina,nyk,624,78,8,-1.4491919,-0.5902504
Kyle O'Quinn,nyk,616,77,8,-1.5577025,1.9341105
Joakim Noah,nyk,415,54,8,-1.9277883,1.9942828
Damyean Dotson,nyk,390,78,5,-1.5282155,-1.5652291
Mindaugas Kuzminskas,nyk,390,78,5,-0.9187050,-1.1394022
Paul George,okc,2772,77,36,2.5211945,0.4967260
Russell Westbrook,okc,2618,77,34,7.7225008,0.8492240
Carmelo Anthony,okc,2376,72,33,1.5031579,-1.2152500
Steven Adams,okc,2340,78,30,-0.5986611,2.0221562
Andre Roberson,okc,2310,77,30,-1.1864547,1.8390213
Patrick Patterson,okc,1540,77,20,0.6907008,0.3221225
Jerami Grant,okc,1452,77,19,-1.9918537,0.1130405
Alex Abrines,okc,1404,78,18,-0.0067719,-1.7928908
Raymond Felton,okc,1386,77,18,-1.4683346,-0.8521992
Dakari Johnson,okc,624,78,8,-2.2977247,0.8911330
Kyle Singler,okc,624,78,8,-2.4654114,-0.2637463
Nick Collison,okc,234,78,3,-3.1307218,0.7053008
Evan Fournier,orl,2400,75,32,0.9801798,-1.5055561
Elfrid Payton,orl,2340,78,30,1.1898746,-0.2522536
Aaron Gordon,orl,2325,75,31,1.1645879,0.0571944
Nikola Vucevic,orl,2128,76,28,-0.9922254,1.8245542
Terrence Ross,orl,2028,78,26,0.6152277,-0.9140063
Bismack Biyombo,orl,1716,78,22,-2.4982471,1.7760836
Jonathon Simmons,orl,1458,78,19,-1.5948402,0.0857390
Jonathan Isaac,orl,1092,78,14,-1.7376108,0.6966642
Marreese Speights,orl,1092,78,14,-0.4666847,-0.1357623
Shelvin Mack,orl,1078,77,14,-0.8127208,-1.0907890
D.J. Augustin,orl,624,78,8,-0.3476288,-2.8138921
Mario Hezonja,orl,624,78,8,-1.9243081,-1.0320611
Wesley Iwundu,orl,390,78,5,-1.4859480,-0.9096824
Arron Afflalo,orl,385,77,5,-1.5521853,-2.5059855
Robert Covington,phi,2356,76,31,-0.5189784,2.4626071
J.J. Redick,phi,2184,78,28,1.3187925,-1.9954801
Dario Saric,phi,2028,78,26,-0.5816367,-0.0464564
Markelle Fultz,phi,1950,78,25,0.0474353,-1.0972930
Ben Simmons,phi,1876,67,28,0.4001282,0.8405080
T.J. McConnell,phi,1560,78,20,-0.8944675,-0.3832871
Joel Embiid,phi,1250,50,25,-0.1178901,2.9303930
Amir Johnson,phi,1170,78,15,-0.7201846,2.3012979
Richaun Holmes,phi,1140,76,15,-0.5958176,0.4245111
Jerryd Bayless,phi,1044,58,18,-0.8168523,-1.6138570
Nik Stauskas,phi,986,78,13,-0.3674314,-1.6432676
Jahlil Okafor,phi,888,74,12,-2.7173722,-0.3213356
Justin Anderson,phi,624,78,8,-0.8338489,-0.7504539
Timothe Luwawu-Cabarrot,phi,624,78,8,-1.2039162,-0.2427348
Devin Booker,phx,2730,78,35,1.2051431,-2.3148100
Eric Bledsoe,phx,2368,74,32,2.3960981,-0.4930056
Josh Jackson,phx,2184,78,28,-1.0639490,0.0321834
T.J. Warren,phx,2044,73,28,-0.0330162,-1.1903296
Marquese Chriss,phx,1950,78,25,-1.4830964,-0.1058276
Tyson Chandler,phx,1848,77,24,-1.4928740,1.9094633
Alex Len,phx,1694,77,22,-2.7806263,1.7830538
Tyler Ulis,phx,1560,78,20,-0.9662333,-2.2852345
Dragan Bender,phx,1140,76,15,-2.2179444,0.4935884
Jared Dudley,phx,783,78,10,-0.5549020,0.5864304
Troy Daniels,phx,624,78,8,0.0314372,-2.3931723
Derrick Jones,phx,390,78,5,-0.7539378,-0.5412602
Davon Reed,phx,200,40,5,-1.9374382,-1.1280274
Alan Williams,phx,165,11,15,-1.4772186,0.9463754
Damian Lillard,por,2808,78,36,4.8907537,-2.0005076
C.J. McCollum,por,2695,77,35,2.6656594,-1.5637548
Jusuf Nurkic,por,2190,73,30,-1.7608926,2.8158762
Maurice Harkless,por,2184,78,28,-0.1595473,0.6601006
Al-Farouq Aminu,por,2156,77,28,-0.8536769,1.8932393
Evan Turner,por,2156,77,28,-1.9800797,0.1129259
Ed Davis,por,1155,77,15,-1.2560458,1.0641372
Meyers Leonard,por,924,77,12,-1.1463410,-0.1380141
