Player,Team,Min,G,MPG,OPM,DPM,Playing
Archie Goodwin,,0,0,0,-0.40490437,-1.558745,1
Caleb Swanigan,por,844,78,10.633772427890074,-2.1925312400635932,-0.27832909379968207,1
CJ McCollum,por,2695,77,35,2.6656594,-1.5637548,1
CJ Wilcox,por,0,0,0,-0.79285562,-0.84110439,0
Damian Lillard,por,2808,78,36.79117415287628,6.098521841755319,-0.9988389627659575,1
Ed Davis,por,1155,77,16.05179037959121,-1.8547955394190874,1.3220628630705396,1
Evan Turner,por,2156,77,26.873877199458597,-3.1026909053156144,0.8070290282392028,1
Isaiah Briscoe,,0,0,0,-1.9226485,-1.9140025,1
Jake Layman,por,234,78,3.481857764876633,-2.3540684391080617,-0.41235231560891944,1
Jusuf Nurkic,por,2190,73,28.87642085819835,-3.447183546462064,2.347773316283035,0
Maurice Harkless,por,2184,78,25.041509433962265,-1.6073336320754716,1.6849531132075475,1
Meyers Leonard,por,924,77,11.94406706171412,-0.4190310015898252,-0.3763228139904611,1
Noah Vonleh,por,852,71,15.609977827050999,-2.667090354767184,1.0907581485587583,1
Pat Connaughton,por,234,78,11.664732430689877,-0.7332791102514506,-0.7661085106382979,1
Shabazz Napier,por,624,78,11.543047843401201,0.46063168433451124,-0.444453062426384,1
Zach Collins,por,624,78,8.232926277702397,-3.2080028192371475,0.6970214759535655,1
Bogdan Bogdanovic,sac,1716,78,23.233648815020008,-0.8014989843028625,-0.9181518005540166,1
Buddy Hield,sac,2184,78,25.38345083487941,0.5189538497217069,-1.6843676716141003,1
De'Aaron Fox,sac,1716,78,24.520967248239977,-2.6950673966942147,-1.2516651652892563,1
Frank Mason,sac,624,78,12.635616438356164,-0.8882834474885845,-2.7077410388127854,1
Garrett Temple,sac,1368,76,21.713900134952766,-1.7284615350877193,0.0219269298245614,1
George Hill,sac,2070,69,27.565679233991624,0.5317205565529624,-0.4229465439856374,1
Georgios Papagiannis,sac,390,78,5.130841121495327,-1.7556754205607474,0.7245406542056074,1
Harry Giles,sac,135,45,3,-2.1457605,0.4322401,0
JaKarr Sampson,sac,0,0,2.8803986710963456,-2.4685207641196016,-0.3478997259136213,1
Justin Jackson,sac,866,78,14.277645973375511,-2.570131435349941,-2.225349288256228,1
Kosta Koufos,sac,1404,78,18.12871582559397,-2.5753548841893252,1.7155960725075527,1
Malachi Richardson,sac,385,77,6.458333333333332,-2.066738359375,-1.4515321093750002,1
Skal Labissiere,sac,1872,78,20.727079261672095,-2.6080878393051026,-0.2739015200868621,1
Vince Carter,sac,1386,77,16.494101374989828,-2.4695464038727524,-0.060771023513139705,1
Willie Cauley-Stein,sac,1716,78,23.51693302891933,-1.5010319634703195,1.425633881278539,1
Zach Randolph,sac,1848,77,25.107084421235857,0.5942965187119235,-0.5810427328111402,1
Brandon Paul,sas,390,78,7.678829915560917,-1.158745476477684,-0.5078407720144753,1
Bryn Forbes,sas,0,0,9.116505887359908,-1.0327467725918569,-2.1178847070506452,1
Danny Green,sas,2028,78,27.326891908739558,-0.7702565235008104,2.0230742706645057,1
Darrun Hilliard,sas,0,0,0.7054730983302411,-2.2938651205936917,-0.7272640074211502,1
Davis Bertans,sas,936,78,11.1144382544104,0.3062675487465181,0.04529157381615599,1
Dejounte Murray,sas,1050,78,15.489567013245976,-2.2602355932203384,0.6218962113659022,1
Derrick White,sas,386,78,5.243449116392443,-2.0721226691042047,-0.20634424131627052,1
Joffrey Lauvergne,sas,1170,78,14.046051192299277,-1.7741686830015315,-0.5767071975497702,1
Kawhi Leonard,sas,2508,76,32.47286821705426,4.5956653100775195,1.9026910852713177,1
Kyle Anderson,sas,1092,78,21.49544458539961,-0.7139732979664014,2.8435966401414676,0
LaMarcus Aldridge,sas,2464,77,33.02663929032089,1.929198223169865,0.1948332267235252,1
Manu Ginobili,sas,1110,74,18.120333772507685,-0.7995215656565657,0.09661530303030305,1
Patty Mills,sas,1672,76,24.014144271570014,1.2860835396039605,-1.2631963283828385,1
