Player,Team,OPM,DPM
Terrance Ferguson,OKC,-1.638761,-0.072201185
Daniel Hamilton,OKC,-0.78927398,-0.22934283
Josh Huestis,OKC,-0.5052669,-0.11066958
Dakari Johnson,OKC,-2.2977247,0.89113295
Patrick Patterson,OKC,0.69070077,0.32212254
Aaron Gordon,ORL,1.1645879,0.057194438
Jonathan Isaac,ORL,-1.7376108,0.69666421
Elfrid Payton,ORL,1.1898746,-0.25225356
Damjan Rudez,ORL,-2.4963884,-0.79907525
Arron Afflalo,ORL,-1.5521853,-2.5059855
Marreese Speights,ORL,-0.46668473,-0.1357623
Shelvin Mack,ORL,-0.81272078,-1.090789
Mario Hezonja,ORL,-1.9243081,-1.0320611
Nikola Vucevic,ORL,-0.99222535,1.8245542
Evan Fournier,ORL,0.98017979,-1.5055561
Bismack Biyombo,ORL,-2.4982471,1.7760836
D.J. Augustin,ORL,-0.34762883,-2.8138921
Rodney Purvis,ORL,,
Jonathon Simmons,ORL,-1.5948402,0.085738979
Troy Caupain,ORL,,
Khem Birch,ORL,,
Wes Iwundu,ORL,,
Kalin Lucas,ORL,,
Terrence Ross,ORL,0.6152277,-0.91400629
Adreian Payne,ORL,-2.1345937,0.24560116
Jacob Pullen,PHI,,
Jerryd Bayless,PHI,-0.81685233,-1.613857
Justin Anderson,PHI,-0.83384889,-0.75045389
Amir Johnson,PHI,-0.72018456,2.3012979
Timothe Luwawu-Cabarrot,PHI,-1.2039162,-0.24273475
Jahlil Okafor,PHI,-2.7173722,-0.32133558
Dario Saric,PHI,-0.58163667,-0.046456423
Nik Stauskas,PHI,-0.3674314,-1.6432676
T.J. McConnell,PHI,-0.89446747,-0.3832871
James Michael McAdoo,PHI,-2.2440505,0.70344019
JJ Redick,PHI,1.3187925,-1.9954801
Markelle Fultz,PHI,0.047435284,-1.097293
Joel Embiid,PHI,-0.11789012,2.930393
Richaun Holmes,PHI,-0.59581757,0.42451113
James Blackmon Jr.,PHI,-1.8336229,-2.2923894
Ben Simmons,PHI,0.40012819,0.84050804
Furkan Korkmaz,PHI,-0.81519246,-1.0121039
Robert Covington,PHI,-0.51897836,2.4626071
Kris Humphries,PHI,-2.429842,0.023409747
Emeka Okafor,PHI,,
Marquese Chriss,PHX,-1.4830964,-0.10582762
Devin Booker,PHX,1.2051431,-2.31481
Eric Bledsoe,PHX,2.3960981,-0.49300557
Jared Dudley,PHX,-0.55490202,0.58643043
Tyson Chandler,PHX,-1.492874,1.9094633
