Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Alec Burks,SG,26,UTA,25,486,17.0,.562,.337,.286,1.4,16.6,8.8,10.3,2.5,1.3,9.7,23.2,0.6,0.7,1.3,.131,-0.4,0.2,-0.2,0.2
Jimmy Butler,SG,28,MIN,24,886,19.5,.555,.210,.360,3.9,13.2,8.5,20.0,2.5,0.7,10.5,22.7,2.0,0.6,2.6,.140,2.8,-0.1,2.7,1.1
Bruno Caboclo,SF,22,TOR,2,7,-0.1,.000,1.000,.000,0.0,16.2,8.3,16.6,7.0,0.0,0.0,12.6,0.0,0.0,0.0,-0.123,-6.1,4.2,-1.9,0.0
Jose Calderon,PG,36,CLE,17,252,6.7,.553,.538,.205,1.4,7.3,4.5,13.5,1.8,0.0,23.4,9.8,0.1,0.1,0.2,.037,-2.0,-1.3,-3.3,-0.1
Kentavious Caldwell-Pope,SG,24,LAL,22,759,12.2,.532,.496,.238,2.6,13.0,7.8,9.5,2.3,0.7,11.8,17.5,0.3,1.0,1.3,.081,-0.5,0.7,0.2,0.4
Isaiah Canaan,SG,26,HOU,1,4,-7.3,.000,.000,.000,0.0,27.7,14.1,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,-0.210,-16.7,-3.3,-20.0,0.0
Clint Capela,C,23,HOU,23,583,25.8,.663,.005,.348,15.0,34.4,24.9,8.1,1.5,5.8,13.9,19.7,2.0,1.3,3.3,.271,0.8,4.0,4.8,1.0
DeMarre Carroll,SF,31,BRK,22,654,15.0,.554,.498,.381,5.9,19.2,12.4,8.9,1.5,1.2,10.9,19.2,0.9,0.6,1.5,.108,0.7,0.2,0.9,0.5
Vince Carter,SF,41,SAC,16,215,6.1,.416,.545,.109,1.5,10.7,5.9,8.0,1.6,3.1,9.4,13.3,-0.2,0.1,-0.1,-0.018,-4.0,-0.2,-4.2,-0.1
Michael Carter-Williams,PG,26,CHO,13,225,8.5,.385,.203,.464,5.2,11.9,8.5,21.0,2.8,1.5,17.0,19.2,-0.3,0.3,0.0,-0.003,-4.5,2.0,-2.5,0.0
Alex Caruso,PG,23,LAL,2,19,4.8,.500,.000,.000,0.0,11.1,5.5,26.9,0.0,0.0,50.0,8.7,0.0,0.0,0.0,-0.025,-8.1,-2.7,-10.8,0.0
Omri Casspi,SF,29,GSW,23,328,15.7,.652,.136,.341,3.3,24.4,14.8,8.9,1.0,2.9,12.9,15.3,0.6,0.5,1.1,.165,-1.0,0.6,-0.3,0.1
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Willie Cauley-Stein,C,24,SAC,23,565,17.2,.536,.031,.284,7.6,20.6,13.8,14.5,1.6,4.1,13.8,20.1,0.5,0.5,1.0,.084,-1.4,1.7,0.4,0.3
Tyler Cavanaugh,PF,23,ATL,15,182,14.4,.610,.612,.122,6.7,15.6,11.1,13.9,0.8,1.0,8.8,13.6,0.4,0.1,0.5,.130,1.7,-1.3,0.4,0.1
Mario Chalmers,PG,31,MEM,24,574,10.5,.473,.398,.335,0.8,13.8,7.3,24.5,2.8,0.6,16.9,19.6,-0.3,0.6,0.3,.028,-2.2,0.1,-2.1,0.0
Tyson Chandler,C,35,PHO,19,492,16.0,.671,.000,.456,12.4,27.5,19.8,5.5,0.8,2.1,16.9,10.9,1.1,0.3,1.4,.136,0.0,0.3,0.3,0.3
Wilson Chandler,SF,30,DEN,21,623,9.7,.512,.391,.224,4.7,12.1,8.4,11.8,0.7,1.0,14.5,14.3,0.4,0.2,0.6,.049,-1.0,-1.1,-2.1,0.0
Marquese Chriss,PF,20,PHO,27,538,10.4,.505,.399,.250,4.0,20.0,11.9,8.3,1.4,4.4,15.0,14.9,0.0,0.5,0.5,.040,-2.5,1.4,-1.2,0.1
Ian Clark,SG,26,NOP,22,328,7.5,.479,.514,.124,0.7,9.2,5.1,13.4,1.3,0.3,12.6,16.8,-0.1,0.1,0.0,.001,-3.1,-2.3,-5.3,-0.3
Jordan Clarkson,SG,25,LAL,24,539,18.4,.563,.292,.203,3.7,9.4,6.5,22.0,1.4,0.0,12.4,27.9,0.7,0.5,1.2,.107,1.8,-2.5,-0.7,0.2
Gian Clavell,SG,24,DAL,7,64,7.7,.530,.833,.111,1.7,10.6,6.0,7.0,1.6,0.0,9.6,14.7,0.0,0.0,0.1,.050,-1.3,-1.4,-2.7,0.0
Antonius Cleveland,SG,23,DAL,8,33,10.2,.515,.000,.667,6.4,17.1,11.6,9.0,1.5,2.8,11.4,12.0,0.0,0.0,0.1,.097,-3.9,2.0,-1.9,0.0
John Collins,PF,20,ATL,21,484,20.4,.622,.006,.270,15.2,19.5,17.3,5.9,1.4,3.4,13.7,20.4,1.2,0.4,1.6,.159,0.6,0.1,0.7,0.3
Zach Collins,C,20,POR,8,37,-13.1,.167,.333,.000,6.0,11.6,8.8,7.2,0.0,0.0,40.0,17.7,-0.3,0.0,-0.2,-0.291,-13.9,-0.8,-14.8,-0.1
Darren Collison,PG,30,IND,26,803,17.1,.570,.333,.256,2.4,8.8,5.7,28.2,1.9,0.5,12.5,17.0,2.0,0.6,2.6,.153,2.4,-1.2,1.2,0.7
Nick Collison,PF,37,OKC,4,22,20.8,.820,.000,.500,14.8,21.4,17.9,20.9,0.0,0.0,29.1,13.5,0.1,0.0,0.1,.226,1.3,-0.8,0.4,0.0
Mike Conley,PG,30,MEM,12,373,16.1,.520,.458,.393,0.0,8.6,4.3,22.9,1.6,0.7,8.4,26.7,0.4,0.2,0.6,.082,1.5,-3.1,-1.5,0.0
Pat Connaughton,SG,25,POR,24,475,10.4,.594,.579,.116,1.4,11.3,6.4,8.9,0.4,1.0,11.2,13.1,0.6,0.5,1.1,.112,-0.5,-0.3,-0.8,0.1
Quinn Cook,PG,24,GSW,5,57,14.1,.656,.500,.000,2.1,8.9,5.8,20.9,0.0,0.0,11.1,13.6,0.2,0.0,0.2,.151,1.7,-4.1,-2.4,0.0
Charles Cooke,SG,23,NOP,2,5,8.8,.250,.500,.000,0.0,0.0,0.0,30.7,9.6,0.0,0.0,34.8,0.0,0.0,0.0,-0.192,-6.6,-3.8,-10.4,0.0
Jack Cooley,PF,26,SAC,1,2,49.6,.532,.000,2.000,0.0,60.5,28.9,63.8,0.0,0.0,0.0,42.2,0.0,0.0,0.0,.540,13.3,5.9,19.2,0.0
Matt Costello,C,24,SAS,1,11,16.5,1.000,.000,.000,0.0,51.0,25.6,0.0,0.0,15.4,0.0,4.1,0.0,0.0,0.1,.249,-7.1,4.4,-2.7,0.0
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
DeMarcus Cousins,C,27,NOP,26,932,23.2,.568,.343,.400,6.7,31.5,19.4,23.7,2.2,3.7,18.1,34.3,0.8,1.5,2.3,.118,1.5,3.2,4.7,1.6
Robert Covington,PF,27,PHI,24,768,15.3,.600,.656,.167,3.6,16.3,10.1,8.7,2.3,2.2,12.7,18.7,1.0,1.1,2.1,.131,2.1,1.0,3.1,1.0
Allen Crabbe,SG,25,BRK,21,572,12.1,.566,.621,.180,1.6,14.0,7.7,7.9,1.1,0.7,10.2,18.4,0.5,0.4,0.9,.072,0.4,-1.2,-0.8,0.2
Torrey Craig,SF,27,DEN,1,6,-4.9,.000,1.000,.000,0.0,18.8,9.2,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,-0.155,-10.3,-4.4,-14.7,0.0
Jamal Crawford,SG,37,MIN,26,455,13.8,.526,.438,.212,1.5,5.9,3.7,17.8,1.5,0.4,12.3,25.1,0.3,0.1,0.4,.046,0.3,-4.2,-3.9,-0.2
Jordan Crawford,SG,29,NOP,2,37,16.3,.643,.357,.000,6.1,2.9,4.5,36.7,0.0,2.2,22.2,21.2,0.1,0.0,0.1,.130,1.4,-4.9,-3.4,0.0
